MonthlyHour,Type,Amount,SenderBalance,ReceiverBalance,isFraud
252,CASH_IN,136968.95,10460.0,1284020.91,0
40,TRANSFER,642102.46,141005.0,2026005.75,0
438,CASH_OUT,27286.66,27286.66,11633.47,1
649,TRANSFER,963966.56,963966.56,0.0,1
255,PAYMENT,32616.53,0.0,0.0,0
396,DEBIT,3802.26,60223.0,3434151.36,0
201,TRANSFER,33711.07,413.0,5974121.87,0
185,CASH_OUT,194180.11,194180.11,489160.24,1
358,TRANSFER,411089.59,0.0,940248.34,0
19,PAYMENT,8981.96,119755.54,0.0,0
231,PAYMENT,9271.11,183798.85,0.0,0
257,CASH_OUT,187750.17,0.0,2533266.15,0
33,TRANSFER,1592978.09,448.0,610688.07,0
493,TRANSFER,605108.36,605108.36,0.0,1
331,CASH_OUT,196684.96,0.0,2084939.0,0
34,CASH_OUT,51424.22,51424.22,87252.78,1
692,TRANSFER,880661.14,880661.14,0.0,1
156,CASH_IN,20821.28,22187800.74,1232722.86,0
133,DEBIT,6496.91,303076.6,1890489.3,0
135,TRANSFER,755863.05,0.0,1605435.62,0
201,PAYMENT,4818.05,0.0,0.0,0
44,DEBIT,45.91,1362.89,4369301.44,0
208,CASH_OUT,124298.73,61831.0,32325.1,0
40,CASH_IN,518958.52,65589.0,1394018.68,0
261,TRANSFER,591032.52,591032.52,0.0,1
119,TRANSFER,1082718.08,1082718.08,0.0,1
258,CASH_IN,235004.84,924768.91,385026.26,0
13,CASH_OUT,4220.76,11069.0,1554564.28,0
348,CASH_OUT,142715.07,142715.07,1012855.59,1
386,DEBIT,2657.33,81254.0,693016.8,0
182,CASH_OUT,1486052.97,1486052.97,775543.29,1
218,CASH_OUT,494453.52,494453.52,249657.93,1
26,CASH_OUT,37065.55,37065.55,1396327.66,1
350,PAYMENT,16666.28,259.0,0.0,0
36,PAYMENT,43786.02,98270.45,0.0,0
495,CASH_OUT,296940.32,296940.32,1278235.25,1
155,CASH_OUT,263641.51,0.0,1266680.06,0
659,DEBIT,4655.11,72860.0,421645.23,0
148,CASH_OUT,208630.6,208630.6,337304.83,1
414,CASH_OUT,533269.77,533269.77,20836.5,1
154,DEBIT,194.76,0.0,14669.55,0
234,CASH_OUT,16367.89,92103.0,508897.14,0
212,CASH_IN,5047.72,7065060.7,91138.64,0
254,TRANSFER,661999.12,0.0,22373711.61,0
223,TRANSFER,2308798.26,2308798.26,0.0,1
402,CASH_OUT,132338.23,0.0,229565.71,0
181,CASH_IN,275333.94,10787.0,127175.26,0
352,PAYMENT,5891.96,19895.0,0.0,0
238,PAYMENT,9669.47,18466.0,0.0,0
161,TRANSFER,212569.42,0.0,898217.75,0
332,DEBIT,15951.35,0.0,303847.85,0
10,DEBIT,699.18,311315.54,42235.29,0
275,DEBIT,1795.75,6373.0,397590.61,0
178,TRANSFER,298260.84,89480.09,1100833.86,0
280,TRANSFER,465561.1,10380.0,0.0,0
161,PAYMENT,4054.71,0.0,0.0,0
162,CASH_OUT,27619.48,81840.0,36176.93,0
183,PAYMENT,15495.18,60443.0,0.0,0
182,PAYMENT,20816.88,10841.0,0.0,0
231,PAYMENT,15938.86,375885.0,0.0,0
542,TRANSFER,7469051.14,7469051.14,0.0,1
227,CASH_OUT,50878.83,0.0,1735175.93,0
422,CASH_OUT,40591.72,40591.72,276257.36,1
41,CASH_OUT,37009.42,354762.26,1570871.38,0
230,PAYMENT,11700.66,50789.0,0.0,0
395,CASH_OUT,47984.43,47984.43,299049.39,1
504,TRANSFER,1380940.73,1380940.73,0.0,1
230,TRANSFER,555530.42,384.0,0.0,0
439,DEBIT,1046.48,464.0,246142.61,0
324,DEBIT,1370.96,0.0,3899018.84,0
577,TRANSFER,763170.76,763170.76,0.0,1
139,DEBIT,5725.38,0.0,300628.27,0
257,DEBIT,2629.74,2095.0,10712.5,0
184,CASH_OUT,60519.74,60519.74,54295.32,1
478,TRANSFER,51183.25,51183.25,0.0,1
241,DEBIT,2718.08,350.0,671593.86,0
231,PAYMENT,3551.66,0.0,0.0,0
21,PAYMENT,9606.9,9533.0,0.0,0
258,CASH_OUT,330447.78,398.0,550928.77,0
163,PAYMENT,3483.29,41208.12,0.0,0
203,TRANSFER,474434.65,612647.33,1070407.95,0
326,PAYMENT,30984.53,30417.57,0.0,0
182,CASH_OUT,47871.97,0.0,4749882.27,0
251,PAYMENT,9953.4,0.0,0.0,0
331,DEBIT,4803.2,23933.0,145661.82,0
254,CASH_OUT,14284.32,29874.0,799989.47,0
280,PAYMENT,14821.21,135116.0,0.0,0
1,DEBIT,9755.38,102287.0,1174448.2,0
53,CASH_OUT,1631640.02,1631640.02,705298.87,1
226,TRANSFER,3901081.32,49511.0,0.0,0
572,CASH_OUT,2000718.2,2000718.2,10984451.39,1
161,PAYMENT,15564.21,0.0,0.0,0
183,DEBIT,1512.92,513.0,428040.7,0
207,CASH_IN,251891.2,657257.79,4954990.34,0
283,CASH_OUT,92266.03,52009.0,22946.87,0
397,CASH_OUT,282829.6,345856.57,530331.56,0
209,CASH_IN,19926.68,11055264.2,1828503.14,0
279,TRANSFER,469935.35,0.0,7353446.91,0
288,TRANSFER,78063.76,99110.0,3769.01,0
119,CASH_OUT,2040209.74,2040209.74,11240377.72,1
353,CASH_IN,188727.04,2124506.2,613280.3,0
86,CASH_OUT,8931607.89,8931607.89,141515.57,1
209,CASH_OUT,220402.47,0.0,290934.81,0
205,PAYMENT,27811.53,0.0,0.0,0
132,PAYMENT,4586.49,0.0,0.0,0
414,TRANSFER,3285475.4,3285475.4,0.0,1
354,CASH_IN,88955.43,762959.17,937052.95,0
217,DEBIT,4808.58,11202.0,13965.58,0
185,DEBIT,29451.88,8255.0,116945.82,0
687,DEBIT,3258.26,88185.0,60315.0,0
348,CASH_OUT,148396.89,0.0,3558051.93,0
642,CASH_OUT,450060.37,450060.37,100205.45,1
346,DEBIT,358.53,116938.0,28955.4,0
16,TRANSFER,2198224.71,2198224.71,0.0,1
184,TRANSFER,518205.49,26544.0,0.0,0
541,CASH_OUT,107320.81,107320.81,289571.44,1
546,TRANSFER,985382.96,0.0,1340179.1,0
526,CASH_IN,108303.88,59744.0,855326.07,0
356,TRANSFER,239068.79,39427.43,621918.87,0
160,TRANSFER,141508.56,141508.56,0.0,1
307,DEBIT,247.82,11544.0,3550535.53,0
228,CASH_IN,31197.05,1731677.72,149768.41,0
134,CASH_OUT,91474.91,0.0,11555353.35,0
139,PAYMENT,700.65,8.0,0.0,0
139,DEBIT,113.86,236035.0,1963236.51,0
334,DEBIT,1719.37,23252.0,687692.47,0
9,CASH_IN,456355.89,1705600.38,2526690.48,0
409,TRANSFER,10000000.0,19033760.73,0.0,1
40,TRANSFER,115707.75,0.0,6238726.91,0
162,CASH_OUT,87221.64,188588.67,4319251.15,0
590,CASH_OUT,120736.43,0.0,1409604.93,0
402,CASH_OUT,213157.94,47017.96,764140.78,0
156,CASH_OUT,250290.3,0.0,830013.98,0
540,TRANSFER,321566.81,0.0,2019042.75,0
15,DEBIT,4129.5,257737.45,3002873.87,0
33,DEBIT,14918.56,1470.0,1379825.83,0
9,CASH_OUT,89693.77,0.0,418578.81,0
355,CASH_IN,267796.93,1198203.22,1543303.22,0
134,TRANSFER,1144916.25,77716.82,1455512.02,0
155,CASH_OUT,2723017.17,2723017.17,11672.12,1
355,CASH_OUT,92142.8,0.0,710435.35,0
38,TRANSFER,21367.0,21367.0,0.0,1
340,CASH_OUT,4677358.76,4677358.76,0.0,1
252,DEBIT,2673.26,140258.0,132056.53,0
41,PAYMENT,12252.06,26274.0,0.0,0
228,CASH_OUT,2874626.02,2874626.02,60869.24,1
350,PAYMENT,2399.93,0.0,0.0,0
40,PAYMENT,4692.94,0.0,0.0,0
276,DEBIT,7499.72,0.0,34253.43,0
551,TRANSFER,407907.34,407907.34,0.0,1
237,CASH_OUT,10000000.0,10000000.0,1188309.53,1
228,CASH_IN,32606.27,7844368.06,444871.73,0
298,CASH_IN,222385.84,1055798.29,268164.02,0
137,TRANSFER,1244915.87,0.0,2030540.8,0
310,CASH_OUT,176484.06,0.0,335740.45,0
362,CASH_OUT,7677120.59,7677120.59,14712164.85,1
235,CASH_OUT,455362.47,0.0,900816.25,0
254,DEBIT,4200.99,25301.0,343264.58,0
208,PAYMENT,32910.58,0.0,0.0,0
255,PAYMENT,7381.1,0.0,0.0,0
400,PAYMENT,8565.93,296421.0,0.0,0
656,CASH_OUT,110528.53,110528.53,600331.95,1
255,TRANSFER,168337.44,51644.0,130002.04,0
134,DEBIT,3092.98,51164.0,210969.57,0
572,TRANSFER,340665.18,340665.18,0.0,1
498,CASH_OUT,142791.28,142791.28,724053.13,1
141,PAYMENT,11405.41,14010.0,0.0,0
351,TRANSFER,1410454.65,0.0,1429706.42,0
646,TRANSFER,6468916.64,6468916.64,0.0,1
296,TRANSFER,5591414.49,5591414.49,0.0,1
163,DEBIT,25382.63,30889.0,1419425.84,0
187,CASH_IN,67163.13,218088.0,2948971.48,0
377,CASH_IN,199379.58,1745505.21,2184683.08,0
397,CASH_IN,2533.2,17897573.2,34423.26,0
403,PAYMENT,8858.66,0.0,0.0,0
90,TRANSFER,1182557.97,1182557.97,0.0,1
332,PAYMENT,4972.38,19735.0,0.0,0
309,CASH_IN,76337.81,68393.0,2707532.02,0
207,TRANSFER,428275.73,396.0,0.0,0
273,CASH_OUT,223380.49,1676.0,12469.75,0
698,TRANSFER,1242226.78,1242226.78,0.0,1
347,DEBIT,2489.83,0.0,139871.81,0
269,TRANSFER,48412.47,48412.47,0.0,1
18,CASH_IN,61572.36,2368338.28,1016988.02,0
131,DEBIT,395.01,30456.0,3913977.75,0
178,CASH_OUT,3354200.39,3354200.39,0.0,1
374,CASH_IN,104294.08,2106610.71,281139.81,0
348,DEBIT,7039.77,9981.0,161272.18,0
351,PAYMENT,8769.0,20660.0,0.0,0
86,CASH_OUT,10000000.0,10000000.0,0.0,1
235,DEBIT,2962.44,0.0,5351942.91,0
675,TRANSFER,2772043.9,2772043.9,0.0,1
263,CASH_IN,123048.42,697740.43,1284954.27,0
325,CASH_IN,162975.95,3502871.77,2744565.18,0
714,CASH_OUT,390763.24,390763.24,1422500.77,1
253,DEBIT,69947.82,223.0,303827.3,0
406,DEBIT,1246.21,791360.0,171179.53,0
537,CASH_OUT,127447.68,127447.68,1274456.97,1
685,TRANSFER,4886423.05,4886423.05,0.0,1
203,CASH_IN,253906.04,5198863.91,1074520.07,0
277,PAYMENT,15193.31,0.0,0.0,0
277,CASH_OUT,80493.76,185386.92,0.0,0
305,DEBIT,180.99,14316.0,1616064.94,0
590,CASH_OUT,251255.87,317795.0,480160.19,0
133,CASH_OUT,459229.94,0.0,603280.41,0
262,PAYMENT,9943.87,330823.0,0.0,0
190,DEBIT,582.15,1188.0,129120.7,0
323,CASH_IN,345976.67,16464.0,0.0,0
305,DEBIT,5109.27,59702.0,346276.44,0
397,CASH_OUT,193645.28,0.0,366604.57,0
416,TRANSFER,27276.07,27276.07,0.0,1
401,CASH_OUT,298086.87,21489.0,691046.17,0
37,DEBIT,1537.99,0.0,867897.17,0
187,CASH_IN,206551.31,807.0,8673748.68,0
356,TRANSFER,7360.15,7360.15,0.0,1
577,TRANSFER,141730.2,141730.2,0.0,1
259,TRANSFER,228326.33,8350.57,2005849.96,0
21,CASH_IN,224050.9,18051.0,883193.19,0
229,PAYMENT,4359.48,20702.0,0.0,0
162,PAYMENT,1999.53,0.0,0.0,0
34,CASH_IN,113000.63,1965181.79,13186672.95,0
228,DEBIT,5373.63,26964.0,26884.6,0
235,CASH_IN,173946.27,20407.0,12188.18,0
299,CASH_IN,261460.12,3713.0,528597.53,0
184,TRANSFER,60519.74,60519.74,0.0,1
438,CASH_OUT,176776.55,176776.55,207998.29,1
186,TRANSFER,527035.68,153860.0,287078.4,0
331,TRANSFER,161859.16,161859.16,0.0,1
249,PAYMENT,20733.06,51338.0,0.0,0
249,TRANSFER,16597.22,0.0,1612046.54,0
182,CASH_IN,164331.33,1203587.15,4307289.91,0
122,CASH_IN,206610.7,9685238.64,209111.67,0
141,TRANSFER,2414496.27,53705.02,5580622.75,0
297,CASH_OUT,409276.44,76671.0,0.0,0
327,PAYMENT,5095.94,271011.72,0.0,0
356,PAYMENT,4127.78,0.0,0.0,0
227,CASH_IN,153143.39,7420243.08,1128349.56,0
660,TRANSFER,51725.86,51725.86,0.0,1
323,CASH_OUT,346964.51,0.0,3633577.85,0
401,PAYMENT,25882.84,0.0,0.0,0
18,TRANSFER,676656.55,0.0,5730248.06,0
210,CASH_IN,173117.43,76355.0,1955605.28,0
306,TRANSFER,538459.62,0.0,1508559.61,0
121,CASH_OUT,1241118.86,1241118.86,30436340.62,1
203,PAYMENT,3898.88,0.0,0.0,0
351,CASH_OUT,118111.77,118111.77,0.0,1
599,DEBIT,1522.73,72689.0,146255.74,0
565,CASH_OUT,757401.17,757401.17,465267.97,1
284,CASH_OUT,67499.11,0.0,692295.76,0
40,DEBIT,1004.66,24006.0,507226.5,0
43,CASH_IN,144722.72,1045180.31,848906.14,0
42,CASH_OUT,160163.91,0.0,14611732.29,0
179,TRANSFER,568119.94,0.0,1701209.68,0
663,CASH_OUT,803441.31,803441.31,1006726.81,1
206,PAYMENT,6142.01,0.0,0.0,0
178,DEBIT,8462.72,20820.0,897110.2,0
18,CASH_OUT,135305.62,326288.94,83385.0,0
164,PAYMENT,5505.63,0.0,0.0,0
403,CASH_IN,74342.5,1586564.18,876668.01,0
44,PAYMENT,9691.87,107852.0,0.0,0
140,TRANSFER,59115.91,221040.0,0.0,0
585,CASH_OUT,470325.08,470325.08,0.0,1
133,CASH_IN,1076.94,21431.0,0.0,0
40,DEBIT,2269.86,0.0,940959.83,0
298,CASH_IN,103451.12,671640.8,1574865.65,0
537,CASH_OUT,34238.2,34238.2,300369.39,1
281,CASH_OUT,195668.42,0.0,354854.34,0
333,PAYMENT,27404.27,104786.0,0.0,0
254,PAYMENT,8117.64,0.0,0.0,0
42,PAYMENT,3490.06,0.0,0.0,0
233,DEBIT,4496.44,125.0,121242.55,0
36,PAYMENT,15383.83,224731.51,0.0,0
201,CASH_IN,17025.17,394950.0,274465.8,0
157,CASH_IN,337413.9,11552439.64,936090.25,0
375,DEBIT,9314.55,1772.0,128926.77,0
255,TRANSFER,248643.33,7516.19,2286337.24,0
715,DEBIT,3163.52,20648.0,11689795.53,0
402,DEBIT,635.97,25835.0,80323.71,0
406,CASH_IN,259578.9,17715152.25,889785.15,0
282,TRANSFER,3591466.04,0.0,3929580.82,0
206,DEBIT,1041.53,0.0,101972.38,0
359,DEBIT,5019.2,4063.0,515124.51,0
254,CASH_IN,111513.98,3493343.19,904241.54,0
413,CASH_OUT,115085.31,115085.31,999400.25,1
345,TRANSFER,132973.41,132973.41,0.0,1
403,CASH_IN,168028.89,11615.0,4982948.45,0
17,DEBIT,3519.17,4023.0,132133.87,0
311,CASH_IN,131417.36,12280662.4,214976.46,0
741,CASH_OUT,10000000.0,10000000.0,35922.97,1
300,TRANSFER,509255.53,0.0,6328199.3,0
132,CASH_IN,117301.36,4765445.66,1910682.86,0
330,CASH_OUT,1031608.37,1031608.37,0.0,1
34,CASH_OUT,245867.39,9696.0,2382117.9,0
137,TRANSFER,249118.53,0.0,477950.17,0
272,CASH_OUT,580673.57,580673.57,374132.53,1
193,CASH_OUT,113273.1,113273.1,0.0,1
369,TRANSFER,231978.48,231978.48,0.0,1
481,TRANSFER,130668.56,130668.56,0.0,1
164,CASH_OUT,436831.03,0.0,670391.58,0
540,CASH_IN,546734.53,21004.0,0.0,0
258,DEBIT,1468.92,31814.0,2141394.89,0
6,CASH_OUT,85354.69,85354.69,11170.0,1
404,TRANSFER,272636.62,0.0,959250.9,0
269,TRANSFER,48412.47,48412.47,0.0,1
354,CASH_OUT,87612.22,15859.0,235386.84,0
326,CASH_IN,10322.63,19765099.65,51547.76,0
203,CASH_OUT,134461.9,20506.0,119312.57,0
321,CASH_OUT,104485.83,0.0,343503.16,0
22,TRANSFER,586723.8,150431.5,921999.92,0
361,DEBIT,2921.36,51234.0,5945.71,0
204,CASH_OUT,81244.31,81244.31,62279.28,1
226,CASH_IN,180237.26,3588885.82,8961025.95,0
638,TRANSFER,1559540.62,1559540.62,0.0,1
727,CASH_OUT,69039.64,69039.64,983882.79,1
188,CASH_IN,62939.12,10369.0,1297700.44,0
469,PAYMENT,11990.38,0.0,0.0,0
136,DEBIT,2732.68,0.0,8676.1,0
37,CASH_OUT,128133.0,128133.0,160395.62,1
281,TRANSFER,756812.67,0.0,1020778.41,0
492,DEBIT,401.88,9907.0,65695.63,0
161,PAYMENT,11898.42,131636.46,0.0,0
349,CASH_IN,36818.72,312176.0,5389494.3,0
378,DEBIT,3372.38,107830.0,8960519.59,0
210,PAYMENT,6866.97,20572.0,0.0,0
18,CASH_OUT,82729.53,0.0,1877937.75,0
35,CASH_OUT,472692.51,472692.51,193065.83,1
355,DEBIT,7736.98,55077.02,629454.26,0
394,CASH_OUT,121266.93,37552.0,0.0,0
202,PAYMENT,5147.71,249313.0,0.0,0
186,PAYMENT,31594.86,40133.0,0.0,0
393,TRANSFER,399567.66,0.0,549309.85,0
211,PAYMENT,7256.99,116.0,0.0,0
184,CASH_OUT,130369.73,0.0,1472425.07,0
499,CASH_OUT,705529.08,705529.08,41951.21,1
154,CASH_IN,94088.75,7424041.51,486994.84,0
404,TRANSFER,85147.12,32381.0,34982.7,0
711,CASH_OUT,986623.96,986623.96,1554653.8,1
201,DEBIT,11678.22,31170.0,5764245.17,0
233,DEBIT,480.7,743832.0,812482.4,0
581,CASH_OUT,2562459.56,2562459.56,0.0,1
276,DEBIT,1996.9,416823.0,3925925.09,0
43,DEBIT,3277.84,106880.0,149626.38,0
263,TRANSFER,273408.94,273408.94,0.0,1
13,PAYMENT,27790.63,193470.0,0.0,0
259,TRANSFER,989043.51,0.0,5389019.36,0
239,TRANSFER,286542.89,0.0,1365009.53,0
259,PAYMENT,3723.61,266415.68,0.0,0
250,PAYMENT,17599.55,20920.0,0.0,0
186,PAYMENT,7831.33,127072.49,0.0,0
269,TRANSFER,10000000.0,13042111.54,0.0,1
340,TRANSFER,26478.48,26478.48,0.0,1
185,PAYMENT,668.1,341137.02,0.0,0
399,CASH_IN,166291.33,20179.0,0.0,0
326,PAYMENT,2457.79,77392.5,0.0,0
529,CASH_OUT,1399724.98,1399724.98,440633.99,1
529,TRANSFER,1679154.56,1679154.56,0.0,1
617,CASH_OUT,10000000.0,10000000.0,0.0,1
531,TRANSFER,1071223.79,0.0,1240765.94,0
66,TRANSFER,2322909.69,2322909.69,0.0,1
472,TRANSFER,2739869.62,2739869.62,0.0,1
19,CASH_IN,82265.73,301603.98,374784.71,0
9,TRANSFER,361559.69,361559.69,0.0,1
230,CASH_OUT,40611.22,0.0,0.0,1
284,DEBIT,2645.3,0.0,146607.48,0
276,PAYMENT,8541.79,10532.0,0.0,0
332,CASH_IN,67914.83,15179485.46,513502.27,0
377,CASH_OUT,489033.93,489033.93,0.0,1
139,TRANSFER,974615.71,30709.0,0.0,0
235,TRANSFER,62046.31,31696.0,98155.29,0
252,CASH_IN,46106.57,4722855.7,418934.86,0
15,TRANSFER,216623.75,891792.18,252398.0,0
131,CASH_OUT,277418.83,15913.0,14668.6,0
535,CASH_OUT,606501.57,606501.57,123759.67,1
264,DEBIT,1796.84,674.0,1779753.58,0
8,CASH_OUT,29707.86,29707.86,10935.0,1
255,TRANSFER,667257.72,667257.72,0.0,1
134,TRANSFER,317218.19,99969.0,726151.17,0
137,TRANSFER,657409.4,0.0,5814678.88,0
187,TRANSFER,7196174.56,7196174.56,0.0,1
219,CASH_OUT,2312944.11,2312944.11,0.0,1
205,CASH_IN,96655.19,120015.0,240408.85,0
238,PAYMENT,21957.68,17879.34,0.0,0
